sep=; 
"codigo_comuna";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"variable";"valor"
"06310";"Santa Cruz";"063";"Colchagua";"06";"Libertador General Bernardo OHiggins";"VI";"poblacion";37855
"07101";"Talca";"071";"Talca";"07";"Maule";"VII";"poblacion";220357
"07102";"Constitucion";"071";"Talca";"07";"Maule";"VII";"poblacion";46068
"07103";"Curepto";"071";"Talca";"07";"Maule";"VII";"poblacion";9448
"07104";"Empedrado";"071";"Talca";"07";"Maule";"VII";"poblacion";4142
"07105";"Maule";"071";"Talca";"07";"Maule";"VII";"poblacion";49721
"07106";"Pelarco";"071";"Talca";"07";"Maule";"VII";"poblacion";8422
"07107";"Pencahue";"071";"Talca";"07";"Maule";"VII";"poblacion";8245
"07108";"Rio Claro";"071";"Talca";"07";"Maule";"VII";"poblacion";13906
"07109";"San Clemente";"071";"Talca";"07";"Maule";"VII";"poblacion";43269
"07110";"San Rafael";"071";"Talca";"07";"Maule";"VII";"poblacion";9191
"07201";"Cauquenes";"072";"Cauquenes";"07";"Maule";"VII";"poblacion";40441
"07202";"Chanco";"072";"Cauquenes";"07";"Maule";"VII";"poblacion";8928
"07203";"Pelluhue";"072";"Cauquenes";"07";"Maule";"VII";"poblacion";7571
"07301";"Curico";"073";"Curico";"07";"Maule";"VII";"poblacion";149136
"07302";"Hualane";"073";"Curico";"07";"Maule";"VII";"poblacion";9657
"07303";"Licanten";"073";"Curico";"07";"Maule";"VII";"poblacion";6653
"07304";"Molina";"073";"Curico";"07";"Maule";"VII";"poblacion";45976
"07305";"Rauco";"073";"Curico";"07";"Maule";"VII";"poblacion";10484
"07306";"Romeral";"073";"Curico";"07";"Maule";"VII";"poblacion";15187
"07307";"Sagrada Familia";"073";"Curico";"07";"Maule";"VII";"poblacion";18544
"07308";"Teno";"073";"Curico";"07";"Maule";"VII";"poblacion";28921
"07309";"Vichuquen";"073";"Curico";"07";"Maule";"VII";"poblacion";4322
"07401";"Linares";"074";"Linares";"07";"Maule";"VII";"poblacion";93602
"07402";"Colbun";"074";"Linares";"07";"Maule";"VII";"poblacion";20765
"07403";"Longavi";"074";"Linares";"07";"Maule";"VII";"poblacion";30534
"07404";"Parral";"074";"Linares";"07";"Maule";"VII";"poblacion";41637
"07405";"Retiro";"074";"Linares";"07";"Maule";"VII";"poblacion";19974
"07406";"San Javier";"074";"Linares";"07";"Maule";"VII";"poblacion";45547
"07407";"Villa Alegre";"074";"Linares";"07";"Maule";"VII";"poblacion";16221
"07408";"Yerbas Buenas";"074";"Linares";"07";"Maule";"VII";"poblacion";18081
"08101";"Concepcion";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";223574
"08102";"Coronel";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";116262
"08103";"Chiguayante";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";85938
"08104";"Florida";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";10624
"08105";"Hualqui";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";24333
"08106";"Lota";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";43535
"08107";"Penco";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";47367
"08108";"San Pedro de la Paz";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";131808
"08109";"Santa Juana";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";13749
"08110";"Talcahuano";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";151749
"08111";"Tome";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";54946
"08112";"Hualpen";"081";"Concepcion";"08";"Biobio";"VIII";"poblacion";91773
"08201";"Lebu";"082";"Arauco";"08";"Biobio";"VIII";"poblacion";25522
"08202";"Arauco";"082";"Arauco";"08";"Biobio";"VIII";"poblacion";36257
"08203";"Canete";"082";"Arauco";"08";"Biobio";"VIII";"poblacion";34537
"08204";"Contulmo";"082";"Arauco";"08";"Biobio";"VIII";"poblacion";6031
"08205";"Curanilahue";"082";"Arauco";"08";"Biobio";"VIII";"poblacion";32288
"08206";"Los Alamos";"082";"Arauco";"08";"Biobio";"VIII";"poblacion";21035
"08207";"Tirua";"082";"Arauco";"08";"Biobio";"VIII";"poblacion";10417
"08301";"Los Angeles";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";202331
"08302";"Antuco";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";4073
"08303";"Cabrero";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";28573
"08304";"Laja";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";22389
"08305";"Mulchen";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";29627
"08306";"Nacimiento";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";26315
"08307";"Negrete";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";9737
"08308";"Quilaco";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";3988
"08309";"Quilleco";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";9587
