sep=; 
"url";"year";"month";"valor";"count";"site";"region";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"tecnica";"unidad";"pollutant"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;1;11.7635577372604;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;2;11.1372188499906;28;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;3;12.3019465340643;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;4;13.115404040404;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;5;13.4864078067795;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;6;15.4425818746471;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;7;13.6444334650856;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;8;13.2450183056775;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;9;11.1930524185959;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;10;10.5289217561307;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
