sep=; 
"codigo_nacional";"nombre";"site";"propietario";"latitud";"longitud";"altura_metros";"codigo_OMM";"codigo_OACI";"obs_meteorologicas";"region_meteo";"comuna";"provincia";"region"
320009;"Los Molinos Cabildo";"Los Molinos Cabildo";"Dirección Meteorológica de Chile";-32.44667;-71.09167;162;NA;NA;7547;"Región de Valparaíso";"Cabildo";"Petorca";"V"
320010;"La Vega fundo";"La Vega fundo";"Dirección Meteorológica de Chile";-32.42055;-71.03944;241;NA;NA;20543;"Región de Valparaíso";"Cabildo";"Petorca";"V"
320012;"La Ligua Esval";"La Ligua Esval";"Dirección Meteorológica de Chile";-32.44805;-71.23;57;NA;NA;38264;"Región de Valparaíso";"La Ligua";"Petorca";"V"
320013;"El Ingenio fundo";"El Ingenio fundo";"Dirección Meteorológica de Chile";-32.48167;-71.1325;125;NA;NA;16189;"Región de Valparaíso";"Cabildo";"Petorca";"V"
320014;"Papudo retén";"Papudo retén";"Dirección Meteorológica de Chile";-32.50528;-71.44139;15;NA;NA;9435;"Región de Valparaíso";"Papudo";"Petorca";"V"
320015;"Catapilco hacienda";"Catapilco hacienda";"Dirección Meteorológica de Chile";-32.57;-71.30555;85;NA;NA;20569;"Región de Valparaíso";"Zapallar";"Petorca";"V"
320016;"Putaendo";"Putaendo-San Felipe";"Dirección Meteorológica de Chile";-32.625;-70.71833;825;NA;NA;2557;"Región de Valparaíso";"San Felipe";"San Felipe de Aconcagua";"V"
320017;"Rinconada de Silva retén";"Rinconada de Silva retén";"Dirección Meteorológica de Chile";-32.66222;-70.71805;744;NA;NA;3653;"Región de Valparaíso";"Putaendo";"San Felipe de Aconcagua";"V"
320018;"La Canela fundo";"La Canela fundo";"Dirección Meteorológica de Chile";-32.70694;-71.32917;419;NA;NA;17961;"Región de Valparaíso";"Puchuncavi";"Valparaiso";"V"
320019;"San Felipe Escuela Agrícola";"San Felipe Escuela Agrícola";"Dirección Meteorológica de Chile";-32.75528;-70.70694;662;85537;NA;57921;"Región de Valparaíso";"Valparaiso";"Valparaiso";"V"
320020;"San Felipe ejército";"San Felipe ejército";"Dirección Meteorológica de Chile";-32.75;-70.72083;657;NA;NA;7609;"Región de Valparaíso";"San Felipe";"San Felipe de Aconcagua";"V"
320021;"San Felipe particular";"San Felipe particular";"Dirección Meteorológica de Chile";-32.74278;-70.73639;636;NA;NA;9312;"Región de Valparaíso";"San Felipe";"San Felipe de Aconcagua";"V"
320022;"San Felipe D.O.S.";"San Felipe D.O.S.";"Dirección Meteorológica de Chile";-32.75306;-70.7375;635;NA;NA;7365;"Región de Valparaíso";"San Felipe";"San Felipe de Aconcagua";"V"
320023;"Puchuncaví hacienda";"Puchuncaví hacienda";"Dirección Meteorológica de Chile";-32.72944;-71.41944;29;NA;NA;15786;"Región de Valparaíso";"Puchuncavi";"Valparaiso";"V"
320024;"Curimón Escuela Agrícola";"Curimón Escuela Agrícola";"Dirección Meteorológica de Chile";-32.78444;-70.68778;716;NA;NA;24128;"Región de Valparaíso";"San Felipe";"San Felipe de Aconcagua";"V"
320025;"Quintero, Estación Aeronáutica";"Quintero, Estación Aeronáutica";"Dirección Meteorológica de Chile";-32.78889;-71.52555;13;85543;NA;116119;"Región de Valparaíso";"Quintero";"Valparaiso";"V"
320026;"San Esteban retén";"San Esteban retén";"Dirección Meteorológica de Chile";-32.80111;-70.58167;841;NA;NA;3653;"Región de Valparaíso";"Los Andes";"Los Andes";"V"
320027;"La Calera, D.O.S";"La Calera, D.O.S";"Dirección Meteorológica de Chile";-32.79;-71.17278;235;NA;NA;3622;"Región de Valparaíso";"Calera";"Quillota";"V"
320028;"La Cruz, INIA";"La Cruz, INIA";"Instituto de Investigación Agropecuaria";-32.82805;-71.22667;176;NA;NA;58376;"Región de Valparaíso";"La Cruz";"Quillota";"V"
320029;"Los Andes comisaría";"Los Andes comisaría";"Dirección Meteorológica de Chile";-32.83333;-70.60417;826;NA;NA;3652;"Región de Valparaíso";"Los Andes";"Los Andes";"V"
320030;"Llay Llay Sendos";"Llay Llay Sendos";"Dirección Meteorológica de Chile";-32.83889;-70.97361;386;NA;NA;10028;"Región de Valparaíso";"Llaillay";"San Felipe de Aconcagua";"V"
320031;"Calle Larga tenencia";"Calle Larga tenencia";"Dirección Meteorológica de Chile";-32.85583;-70.62667;788;NA;NA;10013;"Región de Valparaíso";"Calle Larga";"Los Andes";"V"
320032;"Rinconada retén";"Rinconada retén";"Dirección Meteorológica de Chile";-32.83722;-70.68833;728;NA;NA;3592;"Región de Valparaíso";"Rinconada";"Los Andes";"V"
