sep=; 
"codigo_comuna";"poblacion";"15-44";"45-64";"65+";"mujer";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"superficie";"perimetro";"casos_fallecidos";"tasa_mortalidad";"mp25";"casos_confirmados";"tasa_contagios";"dias_primerContagio";"hr_summer";"hr_winter";"tmed_summer";"tmed_winter";"ingresoTotal_media";"ingresoTotal_mediana";"ingresoAutonomo_media";"ingresoAutonomo_mediana";"perc_ocupado";"perc_menor_media";"perc_isapre";"perc_puebloOrig";"viviendas";"perc_rural";"perc_material_irrecuperable";"pcr_region";"consumo_lena_m3";"penetracion_lena";"defunciones";"tasa_mortalidad_all";"tasa_camas";"dias_cuarentena";"densidad_pob"
"04102";227730;0.440266982830545;0.229960918631713;0.105787555438458;0.51753392174944;"Coquimbo";"041";"Elqui";"04";"Coquimbo";"IV";1425051808.20661;260551.34719566;12;4.67408027732876;13.8832785083556;2017;785.63499328101;116;NA;NA;NA;NA;289741.082465146;250000;357476.615633975;280000;0.460901818879468;0.386255855347504;0.0329813242354252;0.0724981337548852;89499;0.0578755543845782;0.00605593358585012;25601;4439.87654410453;0.0564520133061914;1152;505.862205243051;132.174065779651;NA;0.000159804716353851
"04103";11044;0.386001448750453;0.255885548714234;0.135910901847157;0.500271640709888;"Andacollo";"041";"Elqui";"04";"Coquimbo";"IV";514825841.580458;125766.971534789;1;8.48104486472733;NA;51;432.533288101094;81;NA;NA;NA;NA;275196.17088175;205469.93220339;328639.156608328;274000;0.409428423415645;0.533406203033201;0.0863505943434896;0.0475371242303513;4506;0.0938065918145599;0.0301819795827785;25601;215.316368300577;0.0564520133061914;52;470.843897138718;135.820354943861;NA;2.14519146243634e-05
"04104";4241;0.371846262673898;0.267861353454374;0.133694883282245;0.472765857109172;"La Higuera";"041";"Elqui";"04";"Coquimbo";"IV";4159906903.88812;438314.823284121;0;0;NA;34;764.044943820225;53;NA;NA;NA;NA;240475.555506608;250000;291535.38800905;3e+05;0.523076923076923;0.578947368421053;0.0156421514818881;0.0874793680735676;2660;0.695119075689696;0.0394736842105263;25601;82.6835130353809;0.0564520133061914;6;141.476066965338;NA;NA;1.01949396897226e-06
"04105";4497;0.386924616410941;0.280186791194129;0.145652657327107;0.501890148988214;"Paiguano";"041";"Elqui";"04";"Coquimbo";"IV";1514365062.81612;204004.279664672;0;0;NA;9;192.513368983957;53;NA;NA;NA;NA;225693.212866884;133260.204081633;315708.39747191;233333;0.387631578947368;0.483366380259969;0.02;0.066711140760507;2373;1;0.0278128950695322;25601;87.6745480122867;0.0564520133061914;18;400.266844563042;NA;NA;2.96956137619641e-06
"04106";27771;0.41118432897627;0.246804220229736;0.123582154045587;0.503366821504447;"Vicuna";"041";"Elqui";"04";"Coquimbo";"IV";7583073760.31175;577858.944183388;0;0;NA;116;390.033959853401;81;NA;NA;NA;NA;239121.172460379;192748.981927711;294040.218360702;270000;0.440076416896625;0.506967913423201;0.0255086193508308;0.0992402146123654;10779;0.388102697058082;0.0179051860098339;25601;541.429813842387;0.0564520133061914;108;388.894890353246;108.026358431457;NA;3.6622352462596e-06
"04201";30848;0.385600363070539;0.255510892116183;0.139717323651452;0.522205653526971;"Illapel";"042";"Choapa";"04";"Coquimbo";"IV";2628106999.1352;343359.69852088;1;3.04868754001402;NA;245;746.928447303436;109;NA;NA;NA;NA;256553.149080134;2e+05;341680.755301587;280000;0.454995424673488;0.457270217224976;0.0152938824470212;0.056632520746888;12320;0.317557053941909;0.0159090909090909;25601;601.419714717149;0.0564520133061914;228;739.107883817427;175.051867219917;NA;1.17377260553511e-05
"04202";9093;0.337402397448587;0.279775651600132;0.200263939293962;0.49059716265259;"Canela";"042";"Choapa";"04";"Coquimbo";"IV";2196292583.78599;277005.464818815;1;10.4755918709407;NA;21;219.987429289755;77;NA;NA;NA;NA;208380.629413781;126328.384615385;256306.743114543;2e+05;0.457454993075858;0.664478183559021;0.00185343598517251;0.0310128670405807;5278;0.784449576597383;0.0570291777188329;25601;177.279222832049;0.0564520133061914;47;516.881117343011;NA;NA;4.14015876897667e-06
"04203";21382;0.408193807875783;0.252081189785801;0.130249742774296;0.482695725376485;"Los Vilos";"042";"Choapa";"04";"Coquimbo";"IV";1857596607.20136;251556.920658756;2;8.55651578677163;NA;87;372.208436724566;102;NA;NA;NA;NA;263537.879650694;202463.235294118;325523.525764107;280000;0.517160140082776;0.467124101788319;0.0244088067409622;0.0467683097932841;13288;0.200542512393602;0.00647200481637568;25601;416.868397953906;0.0564520133061914;93;434.945281077542;154.335422317837;NA;1.15105722723158e-05
"04204";29347;0.420622210106655;0.257709476266739;0.125430197294442;0.464613077997751;"Salamanca";"042";"Choapa";"04";"Coquimbo";"IV";3445747669.03331;362208.71634423;1;3.43524562006183;NA;86;295.431123325318;109;NA;NA;NA;NA;316569.732589753;246367.681818182;388720.821950992;276563.821969697;0.369642298466993;0.456977804803892;0.0469406715922666;0.0823252802671483;10697;0.427437216751286;0.0176685051883706;25601;572.155872918963;0.0564520133061914;97;330.527822264627;64.742563123999;NA;8.51687436771399e-06
"04301";111272;0.420537062333741;0.235827521748508;0.119985261341577;0.518126752462434;"Ovalle";"043";"Limari";"04";"Coquimbo";"IV";3548089552.2699;449303.650135738;20;16.4922610065227;NA;1147;945.831168724076;116;NA;NA;NA;NA;339036.458809933;270000;416937.227382016;287801.724137931;0.507742874790435;0.446970488833142;0.0239642714498384;0.0899956862463153;42095;0.213288158746136;0.0162727164746407;25601;2169.38454668071;0.0564520133061914;801;719.857646128406;171.651448702279;NA;3.13611024639481e-05
"04302";13322;0.348746434469299;0.278937096532052;0.189235850472902;0.500375319021168;"Combarbala";"043";"Limari";"04";"Coquimbo";"IV";2295286409.58979;271257.573616546;0;0;NA;32;230.481129357534;74;NA;NA;NA;NA;216521.603987625;150503.605;294137.27861549;238833.4;0.410343270099368;0.5409954099541;0.0159134309357097;0.0790421858579793;6999;0.549767302206876;0.0488641234462066;25601;259.728781102887;0.0564520133061914;73;547.965770905269;150.127608467197;NA;5.80406869676054e-06
"04303";30751;0.396377353581997;0.248902474716269;0.132320900133329;0.503430782738773;"Monte Patria";"043";"Limari";"04";"Coquimbo";"IV";4212058202.55543;370619.584007344;3;9.22310695729701;NA;252;774.740984412949;70;NA;NA;NA;NA;222504.77498861;209481.019607843;307624.051190558;280000;0.502456852791878;0.560992549564339;0.0128626692456479;0.0735911027283666;13074;0.501219472537478;0.0358727244913569;25601;599.528580370431;0.0564520133061914;96;312.184969594485;NA;NA;7.30070633433878e-06
"04304";10956;0.383442862358525;0.240416210295728;0.149324571011318;0.502373128879153;"Punitaqui";"043";"Limari";"04";"Coquimbo";"IV";1092626752.80439;221469.368284432;4;32.8812166050144;NA;81;665.844636251541;91;NA;NA;NA;NA;202810.650817054;139254.222222222;311140.999351772;280000;0.439935283807469;0.618437530103073;0.0101148973779829;0.111902154070829;4812;0.4662285505659;0.0627597672485453;25601;213.600700027266;0.0564520133061914;31;282.949981745162;NA;NA;1.00272119201546e-05
"04305";4278;0.342215988779804;0.284478728377747;0.197054698457223;0.500233754090697;"Rio Hurtado";"043";"Limari";"04";"Coquimbo";"IV";2205349478.46147;304458.758419298;0;0;NA;25;571.820677035682;102;NA;NA;NA;NA;202272.031612903;154704.344827586;258456.46300716;240931.034482759;0.493444576877235;0.690954773869347;0;0.0532959326788219;2764;1;0.0510130246020261;25601;83.4048735593868;0.0564520133061914;28;654.511453950444;NA;NA;1.93982860393831e-06
"05101";296655;0.452020023259342;0.236773356255583;0.133565926749928;0.511402133791778;"Valparaiso";"051";"Valparaiso";"05";"Valparaiso";"V";316046771.991761;122848.054909939;80;25.3379448392941;14.6051944210526;3693;1169.66287864391;116;NA;NA;NA;NA;392876.194858939;280000;436684.714374358;302083;0.504915683688091;0.28980176088156;0.102269910983086;0.0614653385245487;117196;0.00248436736276146;0.0270316393050957;70294;51320.1639295513;0.198937114109307;2742;924.306012034181;293.607051962718;42;0.000938642714590779
"05102";26867;0.427587747050285;0.250455949678044;0.121040681877396;0.503256783414598;"Casablanca";"051";"Valparaiso";"05";"Valparaiso";"V";954323489.173843;187764.40396439;1;3.42817963661296;NA;179;613.64415495372;102;NA;NA;NA;NA;379096.668346905;3e+05;406605.466186013;312838.157894737;0.604307993565984;0.332900675536151;0.0769506512128092;0.0544534186920758;11606;0.329958685376112;0.00844390832328106;70294;4647.88675159783;0.198937114109307;99;368.481780623069;22.3322291286709;NA;2.81529274976337e-05
"05103";42152;0.430845511482255;0.258398178022395;0.116127348643006;0.517911368381097;"Concon";"051";"Valparaiso";"05";"Valparaiso";"V";76369727.3525047;44057.7366720838;6;13.0750288740221;16.039702936786;475;1035.10645252675;112;NA;NA;NA;NA;623713.911894184;309881.313157895;684253.622949338;343605.228956229;0.552988200073252;0.376279674956424;0.173418178648369;0.0477557411273486;20290;0.0650740178401974;0.00438639724001971;70294;7292.13244327062;0.198937114109307;129;306.035300816094;NA;NA;0.000551946451313572
"05104";926;0.453563714902808;0.25377969762419;0.0863930885529158;0.461123110151188;"Juan Fernandez";"051";"Valparaiso";"05";"Valparaiso";"V";NA;NA;0;0;NA;0;0;NA;73.3438492063492;78.8508406284422;17.4835093624265;12.491976702722;NA;NA;NA;NA;NA;NA;NA;0.0626349892008639;445;1;0.00674157303370787;70294;160.194406966896;0.198937114109307;3;323.974082073434;NA;NA;NA
"05105";18546;0.398468672490025;0.258600237247924;0.144074193896258;0.495416801466624;"Puchuncavi";"051";"Valparaiso";"05";"Valparaiso";"V";300548870.9435;95548.1683400335;4;19.9292511583877;15.2001981494925;154;767.276169597927;63;NA;NA;NA;NA;308232.147957975;281908.184210526;367162.296153466;310998.970760234;0.568818601964183;0.43605503552498;0.00916637841577306;0.048797584384773;17451;0.144882993637442;0.00429774798005845;70294;3208.38603845362;0.198937114109307;76;409.791868866602;NA;NA;6.17071025480128e-05
"05107";31923;0.41164677505247;0.247470475832472;0.133383453936034;0.503993985527676;"Quintero";"051";"Valparaiso";"05";"Valparaiso";"V";146073232.76239;69188.9329013503;8;22.139200221392;16.2814980518752;369;1021.17061021171;105;NA;NA;NA;NA;392327.584987406;273051.935779817;434527.120540699;323692.245508982;0.48088881158412;0.399466127984994;0.11234981733268;0.0615230398145538;17442;0.157848573129092;0.0057332874670336;70294;5522.55513348187;0.198937114109307;174;545.061554365191;97.1086677317295;NA;0.000218541065986591
