sep=; 
"codigo_comuna";"poblacion";"15-44";"45-64";"65+";"perc_mujer";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"superficie";"perimetro";"casos_fallecidos";"tasa_mortalidad";"mp25";"casos_confirmados";"tasa_contagios";"dias_primerContagio";"hr_summer";"hr_winter";"tmed_summer";"tmed_winter";"ingresoTotal_media";"ingresoTotal_mediana";"ingresoAutonomo_media";"ingresoAutonomo_mediana";"perc_ocupado";"perc_menor_media";"perc_isapre";"perc_puebloOrig";"viviendas";"perc_rural";"perc_material_irrecuperable";"pcr_region";"consumo_lena_m3";"penetracion_lena";"defunciones";"tasa_mortalidad_all";"tasa_camas";"dias_cuarentena";"densidad_pob";"perc_letalidad"
"05105";18546;39.8468672490025;25.8600237247924;14.4074193896258;49.5416801466624;"Puchuncavi";"051";"Valparaiso";"05";"Valparaiso";"V";300548870.9435;95548.1683400335;4;19.9292511583877;15.2001981494925;154;767.276169597927;63;NA;NA;NA;NA;308232.147957975;281908.184210526;367162.296153466;310998.970760234;56.8818601964183;43.605503552498;0.916637841577306;4.8797584384773;17451;14.4882993637442;0.429774798005845;71261;3208.38603845362;19.8937114109307;76;409.791868866602;0;0;61.7071025480128;2.5974025974026
"05107";31923;41.164677505247;24.7470475832472;13.3383453936034;50.3993985527676;"Quintero";"051";"Valparaiso";"05";"Valparaiso";"V";146073232.76239;69188.9329013503;8;22.139200221392;16.2814980518752;369;1021.17061021171;105;NA;NA;NA;NA;392327.584987406;273051.935779817;434527.120540699;323692.245508982;48.088881158412;39.9466127984994;11.234981733268;6.15230398145538;17442;15.7848573129092;0.57332874670336;71261;5522.55513348187;19.8937114109307;174;545.061554365191;97.1086677317295;0;218.54106598659;2.1680216802168
"05109";334248;44.8906201383404;23.751226634116;14.8476580263756;52.5295588904047;"Vina del Mar";"051";"Valparaiso";"05";"Valparaiso";"V";120393848.545829;57401.5751823442;90;24.9051528761301;14.6582530464955;3504;969.640618643997;116;76.7346623044931;80.7362136482302;16.8334345183133;10.3772704692228;591442.401405671;349114.548387097;639970.540060059;380000;49.4250477389658;27.1697732852401;22.718843681514;5.49352576530002;147117;0;1.11000088365043;71261;57823.6070624957;19.8937114109307;2743;820.648141499725;427.82604533161;42;2776.28802498797;2.56849315068493
"05801";151708;41.7110501753368;25.2293880349092;14.6636960476705;52.7078334695599;"Quilpue";"058";"Marga Marga";"05";"Valparaiso";"V";536290037.031033;155178.279026357;30;17.9549331178741;21.50831125;1437;860.041296346171;116;NA;NA;NA;NA;488738.78702357;310685.647482014;534140.330005245;350000;47.0727971956574;26.849656893325;16.7192410830138;5.9120151870699;56851;1.3921480739315;1.0501134544687;71261;26244.8953478767;19.8937114109307;1014;668.389274131885;102.829119097213;0;282.884240848243;2.08768267223382
"06101";241774;43.5150181574528;24.2002862177074;11.2443852523431;51.2180796942599;"Rancagua";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";262045808.485371;78526.598465594;86;32.4270109460015;25.6107313433961;5480;2066.27930214056;116;NA;NA;NA;NA;373670.9427529;285000;433874.431687456;310000;49.3668495453215;33.6528480414289;18.2216104611149;7.03135986499789;90043;3.13970898442347;0.447563941672312;32284;137201.467664602;58.965968343852;2167;896.291578085319;386.311183171061;35;922.640210875561;1.56934306569343
"06115";58825;42.5516362090948;24.7173820654484;11.4492137696558;50.966425839354;"Rengo";"061";"Cachapoal";"06";"Libertador General Bernardo OHiggins";"VI";584962404.741458;160111.934759126;12;18.8353476691257;21.9535432281335;910;1428.34719824203;102;NA;NA;NA;NA;304377.284897818;270000;359502.875026824;3e+05;53.0687247335538;46.048173190439;5.71087891054002;6.00764980875478;20848;21.8937526561836;0.748273215656178;32284;33381.903494049;58.965968343852;338;574.585635359116;176.795580110497;10;100.562018213802;1.31868131868132
"06301";73973;41.8274235193922;25.1172725183513;11.7204926121693;51.2295026563746;"San Fernando";"063";"Colchagua";"06";"Libertador General Bernardo OHiggins";"VI";2321198112.78458;259068.362282591;7;8.90109610640625;21.777888725129;393;499.732967116808;114;NA;NA;NA;NA;334094.994081661;277500;375926.352778559;3e+05;54.066985645933;41.6850306941602;6.86612862073133;5.00723236856691;28736;13.8712773579549;0.612472160356347;32284;41978.0628502386;58.965968343852;547;739.458991794303;240.628337366336;0;31.8684560325012;1.78117048346056
"07101";220357;44.7069981893019;24.1621550483987;11.9451617148536;52.0677809191448;"Talca";"071";"Talca";"07";"Maule";"VII";231825808.775403;82476.9888583563;24;10.1383890099863;21.1783019749973;1810;764.603504503134;116;NA;NA;NA;NA;419553.700296555;280000;479846.867661971;300976.234615385;51.8720431697221;34.387765551927;9.05303910181959;3.3028222384585;80810;4.28441120545297;0.29575547580745;57827;151261.758280301;63.747480880345;1955;887.196685378726;304.505870020013;0;950.528334890813;1.32596685082873
"07301";149136;43.613882630619;24.8551657547473;10.8370882952473;51.3792779744663;"Curico";"073";"Curico";"07";"Maule";"VII";1333165474.1434;309767.303429323;30;18.3344945179861;25.1206407729469;1912;1168.51845061298;116;55.4591036414566;87.3005524861878;21.2659217877095;7.87225274725275;371832.266986411;278451.13592233;437372.682353375;3e+05;52.3037382030105;44.9109687086115;9.42233468621835;5.37294818152559;54598;11.108652505096;0.397450456060662;57827;102372.847619503;63.747480880345;1067;715.454350391589;191.10074026392;35;111.866083312595;1.56903765690377
"07401";93602;40.9905771244204;25.6137689365612;12.5200316232559;52.2755924018717;"Linares";"074";"Linares";"07";"Maule";"VII";1466116313.08269;269761.6986318;9;8.90445519574961;29.2890523695055;634;627.269399345028;116;NA;NA;NA;NA;293990.677806652;228973.166666667;354163.478976744;270000;52.3674702043898;46.8709936767997;5.6544537222675;3.34608234866776;35676;17.018867118224;0.964233658481893;57827;64252.1140628738;63.747480880345;984;1051.25958847033;274.566782761052;0;63.8435021592456;1.41955835962145
